Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
88			-0.07018			-0.00833	$83.00	$8.00	$3.00		13289	$13	
89			-0.07004			0.02924	$29.00	$2.00	$9.00		6880	$68	
90			-0.069973742			-0.02025	$20.00	$2.00	$0.00		60958	$60	
91			-0.06936			0.00833	$83.00	$8.00	$3.00		7864	$78	
92			-0.069285521			-0.07041	$70.00	$7.00	$0.00		13659	$13	
93			-0.06915			0.01778	$17.00	$1.00	$7.00		16439	$16	
94			-0.06898			0.02201	$22.00	$2.00	$2.00		26208	$26	
95			-0.06872			0.02974	$29.00	$2.00	$9.00		34942	$34	
96			-0.068373047			-0.01660	$16.00	$1.00	$6.00		941	$94	
97			-0.06836			-0.02093	$20.00	$2.00	$0.00		31289	$31	
			-0.06805			0.02138	$21.00	$2.00	$1.00		33646	$33	
			-0.06771			0.02127	$21.00	$2.00	$1.00		49908	$49	
			-0.067215205			-0.01256	$12.00	$1.00	$2.00		17295	$17	
			-0.06704			0.00000	$0.00	$0.00	#VALUE!		4473	$44	
			-0.06700			-0.02913	$29.00	$2.00	$9.00		95179	$95	
			-0.06605			-0.01310	$13.00	$1.00	$3.00		26183	$26	
			-0.06578			0.02201	$22.00	$2.00	$2.00		8128	$81	
			-0.065702609			0.00855	$85.00	$8.00	$5.00		85619	$85	
			-0.06485			0.01695	$16.00	$1.00	$6.00		3740	$37	
			-0.06481			-0.00433	$43.00	$4.00	$3.00		27843	$27	
			-0.06453			0.00000	$0.00	$0.00	#VALUE!		1446	$14	
			-0.06452			0.02109	$21.00	$2.00	$1.00		22745	$22	
			-0.064288677			-0.02459	$24.00	$2.00	$4.00		6675	$66	
			-0.06422			-0.04639	$46.00	$4.00	$6.00		3588	$35	
			-0.06419			-0.02644	$26.00	$2.00	$6.00		0	$0	
			-0.06419			0.01376	$13.00	$1.00	$3.00		1938	$19	
			-0.06417			-0.01357	$13.00	$1.00	$3.00		10517	$10	
			-0.06406			-0.04526	$45.00	$4.00	$5.00		6989	$69	
			-0.06399			0.01896	$18.00	$1.00	$8.00		18650	$18	
			-0.06381			0.02791	$27.00	$2.00	$7.00		3410	$34	
			-0.06377			-0.01340	$13.00	$1.00	$3.00		44463	$44	
			-0.06333			-0.01835	$18.00	$1.00	$8.00		7094	$70	
			-0.06326			-0.06093	$60.00	$6.00	$0.00		9754	$97	
			-0.06316			-0.01473	$14.00	$1.00	$4.00		62895	$62	
			-0.06253			0.00485	$48.00	$4.00	$8.00		37236	$37	
			-0.06216			0.01528	$15.00	$1.00	$5.00		14109	$14	
			-0.06202			0.02455	$24.00	$2.00	$4.00		8817	$88	
			-0.06192733			-0.04832	$48.00	$4.00	$8.00		18399	$18	
			-0.06174			-0.10154	$10.00	$1.00	$0.00		20488	$20	
			-0.06154			-0.02803	$28.00	$2.00	$8.00		0	$0	
			-0.06154			0.03488	$34.00	$3.00	$4.00		2573	$25	
			-0.06151			0.03371	$33.00	$3.00	$3.00		20445	$20	
			-0.061308281			-0.05435	$54.00	$5.00	$4.00		704	$70	
			-0.06130			0.00000	$0.00	$0.00	#VALUE!		36666	$36	
			-0.06093			0.04000	$40.00	$4.00	$0.00		12377	$12	
			-0.06081			0.01105	$11.00	$1.00	$1.00		20475	$20	
			-0.06061			-0.03804	$38.00	$3.00	$8.00		1783	$17	
			-0.06059			0.01136	$11.00	$1.00	$1.00		22377	$22	
			-0.06036			0.01663	$16.00	$1.00	$6.00		32694	$32	
